tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
503710,411293,12/08/2015,13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,,,Damage,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,41 SHIRLEY AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5015602,New York,40.53617572,-74.15954903,939901.4253,134660.215,51.0,15602.0,5069099.0,5053400081.0
111375,310280,08/02/2015,26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,,,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,122-011 METROPOLITAN AVENUE,11415,Kew Gardens,409,4,Queens,29,27,15,QN60,Kew Gardens,4013600,New York,40.70535349,-73.82880625,1031714.903,196302.1573,29.0,136.0,4193065.0,4092410164.0
74532,207784,07/17/2015,2,0,OnCurb,Alive,Poor,Quercus alba,white oak,1or2,,Damage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,2720 SURF AVENUE,11224,Brooklyn,313,3,Brooklyn,47,46,23,BK21,Seagate-Coney Island,3034000,New York,40.57269809,-73.99370734,985998.1645,147925.8702,47.0,340.0,3336552.0,3070690001.0
42097,407544,06/30/2015,9,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,,,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,8 GRISSOM AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5027301,New York,40.59628497,-74.1590134,940090.0653,156559.1797,50.0,27301.0,5119605.0,5020157501.0
628911,222141,07/16/2016,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1384 HANCOCK STREET,11237,Brooklyn,304,3,Brooklyn,37,54,18,BK77,Bushwick North,3043700,New York,40.69521165,-73.9081593,1009717.49,192574.1503,37.0,437.0,3078399.0,3033990035.0
389725,405492,10/27/2015,2,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,Helpful,NoDamage,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,194 PRINCETON AVENUE,10306,Staten Island,502,5,Staten Island,50,64,24,SI45,New Dorp-Midland Beach,5013400,New York,40.56664155,-74.11585009,952062.7445,145740.5442,50.0,134.0,5058188.0,5042510030.0
99939,409650,07/28/2015,4,0,OnCurb,Alive,Poor,Prunus cerasifera,purple-leaf plum,,,Damage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,124 NEVADA AVENUE,10314,Staten Island,502,5,Staten Island,50,62,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5018100,New York,40.58254125,-74.12668334,949061.2643,151537.3594,50.0,181.0,5023649.0,5009520140.0
156951,215766,08/18/2015,17,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,,,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,424 LEONARD STREET,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3049900,New York,40.71971316,-73.94855797,998509.6693,201491.6246,33.0,499.0,3067788.0,3027120001.0
293605,210132,10/07/2015,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,501 AVENUE R,11223,Brooklyn,315,3,Brooklyn,47,45,22,BK25,Homecrest,3041402,New York,40.60461025,-73.96785863,993174.9359,159553.8515,44.0,41402.0,3178657.0,3066810389.0
491491,344836,12/02/2015,33,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,,,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,78-012 75 STREET,11385,Ridgewood,405,4,Queens,30,28,15,QN19,Glendale,4063301,New York,40.70408899,-73.87421371,1019125.976,195820.1205,30.0,63301.0,4093134.0,4038240006.0
30981,516079,06/23/2015,0,27,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,3900 MANHATTAN COLLEGE PARKWAY,10471,Bronx,208,2,Bronx,11,81,34,BX22,North Riverdale-Fieldston-Riverdale,2033500,New York,40.88980119,-73.90804113,1009675.832,263469.8694,11.0,335.0,2096882.0,2057811100.0
279407,225151,10/03/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,575 40 STREET,11232,Brooklyn,307,3,Brooklyn,38,51,17,BK34,Sunset Park East,3008800,New York,40.64959382,-74.00256021,983539.5667,175940.9346,38.0,88.0,3017816.0,3009130041.0
620309,338876,07/10/2016,0,2,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,64-001 ALMEDA AVENUE,11692,Arverne,414,4,Queens,31,31,10,QN12,Hammels-Arverne-Edgemere,4096400,New York,40.59709933,-73.79387306,1041493.212,156883.141,31.0,964.0,4302580.0,4160310034.0
244485,105531,09/21/2015,19,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,330 EAST 35 STREET,10016,New York,106,1,Manhattan,4,74,28,MN20,Murray Hill-Kips Bay,1007800,New York,40.74483836,-73.97383001,991501.555,210642.4193,2.0,78.0,1021906.0,1009400044.0
